  Table 1. Flux (/m**2/yr) along the S/C orbit in 2016
       Spacecraft - perigee altitude (km), apogee altitude (km), inclination, argument of perigee:    400.0    400.0  51.60   -1.0
  ---> Positions outside LEO are not included here.

 pos  alt     lat   >10 um   >100 um  >1 mm    >1 cm    >10 cm   >1 m
  67  400.0  -41.4 8.53E+01 1.19E+00 4.09E-03 3.50E-06 3.48E-07 1.72E-07
  68  400.0  -43.4 8.56E+01 1.19E+00 4.10E-03 3.51E-06 3.47E-07 1.70E-07
  69  400.0  -45.2 9.40E+01 1.40E+00 5.07E-03 3.83E-06 3.78E-07 1.85E-07
  70  400.0  -46.8 9.47E+01 1.39E+00 5.07E-03 3.81E-06 3.73E-07 1.82E-07
  71  400.0  -48.2 9.53E+01 1.39E+00 5.08E-03 3.80E-06 3.70E-07 1.80E-07
  72  400.0  -49.4 9.59E+01 1.39E+00 5.09E-03 3.79E-06 3.69E-07 1.79E-07
  73  400.0  -50.3 1.06E+02 1.60E+00 4.87E-03 3.96E-06 3.74E-07 1.80E-07
  74  400.0  -51.0 1.05E+02 1.67E+00 4.94E-03 3.90E-06 3.64E-07 1.74E-07
  75  400.0  -51.5 1.06E+02 1.71E+00 5.05E-03 3.93E-06 3.62E-07 1.74E-07
  76  400.0  -51.6 1.06E+02 1.76E+00 5.16E-03 3.93E-06 3.62E-07 1.73E-07
  77  400.0  -51.5 1.06E+02 1.81E+00 5.26E-03 3.93E-06 3.62E-07 1.73E-07
  78  400.0  -51.0 1.05E+02 1.88E+00 5.35E-03 3.91E-06 3.64E-07 1.74E-07
  79  400.0  -50.3 1.05E+02 1.90E+00 5.49E-03 3.97E-06 3.74E-07 1.79E-07
  80  400.0  -49.4 9.71E+01 1.33E+00 5.26E-03 3.80E-06 3.68E-07 1.78E-07
  81  400.0  -48.2 9.68E+01 1.32E+00 5.28E-03 3.81E-06 3.70E-07 1.80E-07
  82  400.0  -46.8 9.65E+01 1.31E+00 5.30E-03 3.82E-06 3.72E-07 1.81E-07
  83  400.0  -45.2 9.61E+01 1.30E+00 5.32E-03 3.84E-06 3.78E-07 1.84E-07
  84  400.0  -43.4 8.16E+01 1.08E+00 4.38E-03 3.50E-06 3.47E-07 1.69E-07
  85  400.0  -41.4 8.10E+01 1.07E+00 4.40E-03 3.50E-06 3.49E-07 1.71E-07
  86  400.0  -39.3 1.58E+02 3.32E+00 1.08E-02 3.23E-06 3.13E-07 1.52E-07
  87  400.0  -37.1 1.64E+02 3.47E+00 1.13E-02 3.26E-06 3.18E-07 1.56E-07
  88  400.0  -34.8 3.11E+02 7.35E+00 2.22E-02 3.52E-06 3.23E-07 1.66E-07
  89  400.0  -32.4 3.20E+02 7.57E+00 2.29E-02 3.53E-06 3.24E-07 1.67E-07
  90  400.0  -30.0 1.21E+03 2.83E+01 7.71E-02 5.32E-06 3.28E-07 1.70E-07
  91  400.0  -27.4 1.24E+03 2.90E+01 7.91E-02 5.39E-06 3.30E-07 1.71E-07
  92  400.0  -24.8 2.32E+03 6.54E+01 1.20E-01 5.16E-06 3.41E-07 1.89E-07
  93  400.0  -22.2 2.36E+03 6.67E+01 1.22E-01 5.21E-06 3.43E-07 1.91E-07
  94  400.0  -19.5 2.16E+03 5.35E+01 9.78E-02 4.30E-06 3.14E-07 1.69E-07
  95  400.0  -16.8 2.18E+03 5.41E+01 9.86E-02 4.31E-06 3.13E-07 1.68E-07
  96  400.0  -14.0 1.69E+03 4.09E+01 8.20E-02 4.04E-06 2.99E-07 1.61E-07
  97  400.0  -11.2 1.71E+03 4.13E+01 8.27E-02 4.05E-06 2.99E-07 1.61E-07
  98  400.0   -8.4 1.49E+03 3.70E+01 7.60E-02 3.88E-06 3.17E-07 1.74E-07
  99  400.0   -5.6 1.49E+03 3.70E+01 7.58E-02 3.86E-06 3.15E-07 1.72E-07
 100  400.0   -2.8 1.46E+03 3.80E+01 8.02E-02 4.05E-06 3.21E-07 1.81E-07

  Ave flux:        8.82E+02 2.20E+01 4.60E-02 4.06E-06 3.36E-07 1.72E-07
